1321 東証ETF 日経225連動型上場投資信託（ETF）,,,,,
"2001-12-05","10630","10780","10540","10720","87100","10720"
"2001-12-06","10980","11060","10810","10840","312750","10840"
"2001-12-07","10800","10920","10770","10790","125400","10790"
"2001-12-10","10750","10750","10580","10610","114850","10610"
"2001-12-11","10550","10620","10490","10560","237540","10560"
"2001-12-12","10540","10850","10520","10800","130110","10800"
"2001-12-13","10700","10710","10450","10480","220430","10480"
"2001-12-14","10450","10620","10390","10560","113950","10560"
"2001-12-17","10500","10500","10310","10340","103660","10340"
"2001-12-18","10490","10590","10340","10450","61600","10450"
"2001-12-19","10400","10510","10350","10430","85110","10430"
"2001-12-20","10500","10530","10360","10470","62770","10470"
"2001-12-21","10390","10420","10260","10340","89350","10340"
"2001-12-25","10370","10390","10190","10240","31640","10240"
"2001-12-26","10220","10300","10170","10170","63530","10170"
"2001-12-27","10260","10500","10200","10400","59100","10400"
"2001-12-28","10490","10570","10420","10500","66750","10500"
